District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,210.0,278.0,1730.0,2218.0,208.0,278.0,1729.0,2215.0,2133.0,2542.0,2372.0,2371.0,1883.0,4464.0
GAMPAHA,1570.0,1481.0,5609.0,8660.0,1454.0,1474.0,5539.0,8467.0,2370.0,3242.0,2424.0,2557.0,7197.0,18401.0
KALUTARA,112.0,1090.0,7930.0,9132.0,112.0,1090.0,7913.0,9115.0,3122.0,2946.0,2415.0,2487.0,8408.0,20913.0
KANDY,4196.0,3296.0,2408.0,9900.0,4196.0,3266.0,2399.0,9861.0,4811.0,2846.0,3172.0,3762.0,7798.0,29335.0
MATALE,6820.0,4124.0,813.0,11757.0,6771.0,4039.0,756.0,11566.0,4293.0,3716.0,2527.0,3976.0,10402.0,41359.0
NUWARAELIYA,520.0,1916.0,3.0,2439.0,520.0,1913.0,3.0,2436.0,4177.0,4104.0,3694.0,4119.0,1372.0,5653.0
GALLE,6820.0,127.0,5556.0,5683.0,6807.0,80.0,4944.0,5024.0,4293.0,2328.0,2167.0,2169.0,3931.0,8527.0
MATARA,3469.0,3941.0,5562.0,12972.0,2201.0,2697.0,4811.0,9709.0,3573.0,2930.0,2775.0,2999.0,7666.0,22989.0
HAMBANTOTA,29254.0,4558.0,1135.0,34947.0,27781.0,4128.0,1011.0,32920.0,5289.0,4253.0,2938.0,5087.0,28762.0,146310.0
JAFFNA,6820.0,3941.0,1473.0,11757.0,6807.0,3494.0,1463.0,10424.0,4293.0,3533.0,3004.0,3988.0,8861.0,37169.0
MANNAR,1983.0,391.0,1473.0,2374.0,1982.0,387.0,1463.0,2369.0,5045.0,3704.0,3004.0,4826.0,2262.0,10918.0
VAVUNIYA,2063.0,3640.0,1473.0,5703.0,2036.0,3494.0,1463.0,5530.0,4068.0,4074.0,3004.0,4071.0,5218.0,21243.0
MULATIVU,4203.0,1549.0,1473.0,5752.0,4203.0,1549.0,1463.0,5752.0,4428.0,4389.0,3004.0,4418.0,5427.0,23973.0
KILLINOCHCHI,6807.0,75.0,1473.0,6882.0,6807.0,75.0,1463.0,6882.0,3999.0,3010.0,3004.0,3988.0,6107.0,24355.0
BATTICALOA,29078.0,4418.0,70.0,33566.0,29078.0,4418.0,70.0,33566.0,3580.0,3401.0,3549.0,3557.0,29625.0,105366.0
AMPARA,60510.0,2308.0,366.0,63184.0,60506.0,2304.0,366.0,63176.0,4358.0,3986.0,3251.0,4338.0,60377.0,261938.0
TRINCOMALEE,23787.0,4726.0,136.0,28649.0,23787.0,4726.0,136.0,28649.0,4979.0,3757.0,3577.0,4771.0,26615.0,126977.0
KURUNEGALA,15199.0,28892.0,21197.0,65288.0,14993.0,26925.0,17933.0,59851.0,4237.0,3301.0,3004.0,3447.0,59851.0,206292.0
PUTTALAM,8189.0,8341.0,1142.0,17672.0,8180.0,8049.0,1041.0,17270.0,4180.0,3443.0,3730.0,3810.0,14680.0,55932.0
ANURADHAPURA,43099.0,22007.0,418.0,65524.0,42888.0,21549.0,415.0,64852.0,4563.0,3790.0,3969.0,4302.0,52148.0,224321.0
POLONNARUWA,58149.0,7852.0,32.0,66033.0,58147.0,7811.0,32.0,65990.0,4986.0,4421.0,3686.0,4918.0,58375.0,287105.0
BADULLA,8251.0,4785.0,163.0,13199.0,8251.0,4762.0,163.0,13176.0,4592.0,4491.0,4451.0,4554.0,11200.0,51003.0
MONARAGALA,8277.0,6787.0,1497.0,16561.0,8274.0,6737.0,1479.0,16490.0,4455.0,3823.0,2555.0,4026.0,16160.0,65066.0
RATNAPURA,4430.0,4584.0,1473.0,10487.0,4397.0,4564.0,1463.0,10424.0,5661.0,3164.0,3002.0,4195.0,8861.0,37169.0
KEGALLE,6820.0,690.0,5804.0,6494.0,6807.0,690.0,5692.0,6382.0,4293.0,3142.0,2954.0,2974.0,5979.0,17782.0
SRI_LANKA,320176.0,121856.0,63044.0,505076.0,316772.0,117005.0,57895.0,491672.0,4223.0,3533.0,3111.0,3822.0,440304.0,1817391.0
